name,handedness,height,weight,avg,HR,Count,heightGroup
Larry Harlow,L,74,185,0.248,12,1,74-75
Mike Epstein,L,75,230,0.244,130,1,74-75
Jerry Mumphrey,B,74,185,0.289,70,1,74-75
Don Sutton,R,73,185,0.144,0,1,72-73
Glenn Beckert,R,73,190,0.283,22,1,72-73
Ron Davis,R,72,175,0.233,10,1,72-73
Mike Shannon,R,75,195,0.255,68,1,74-75
Jason Thompson,L,76,200,0.261,208,1,76-77
Wayne Tolleson,B,69,160,0.241,9,1,68-69
John Leister,R,74,200,0,0,1,74-75
Don Cooper,R,73,185,0,0,1,72-73
Mike Jorgensen,L,72,195,0.243,95,1,72-73
Ed Romero,R,71,160,0.247,8,1,70-71
Rick Joseph,R,73,192,0.243,13,1,72-73
Cecil Cooper,L,74,165,0.298,241,1,74-75
Bill Almon,R,75,180,0.254,36,1,74-75
Joe Ferguson,R,74,200,0.24,122,1,74-75
Jeff Jones,R,75,210,0,0,1,74-75
Jerry Terrell,R,71,165,0.253,4,1,70-71
John Poloni,L,77,210,0,0,1,76-77
Dave Revering,L,76,210,0.265,62,1,76-77
Curt Ford,L,70,150,0.245,7,1,70-71
Jerry Dybzinski,R,74,180,0.234,3,1,74-75
Mike Willis,L,74,205,0,0,1,74-75
Bob Burda,L,71,174,0.224,13,1,70-71
Jesse Gonder,L,70,180,0.251,26,1,70-71
Gary Sutherland,R,72,185,0.243,24,1,72-73
Bob Coluccio,R,71,183,0.22,26,1,70-71
Dave Rader,L,71,165,0.257,30,1,70-71
Ron Gardenhire,R,72,175,0.232,4,1,72-73
Bill Sharp,L,70,178,0.255,9,1,70-71
Alan Bannister,R,71,170,0.27,19,1,70-71
Bob Watson,R,72,201,0.295,184,1,72-73
Ken Harrelson,R,74,190,0.239,131,1,74-75
Bobby Wine,R,73,187,0.215,30,1,72-73
Stefan Wever,R,80,245,0,0,1,80-81
John Kennedy,R,72,185,0.225,32,1,72-73
Chico Ruiz,B,72,169,0.24,2,1,72-73
Dave Johnson,R,73,183,0,0,1,72-73
Gail Hopkins,L,70,198,0.266,25,1,70-71
Doug Frobel,L,76,196,0.201,20,1,76-77
Luis Melendez,R,72,165,0.248,9,1,72-73
Jerry Augustine,L,72,183,0,0,1,72-73
Bill Plummer,R,73,190,0.188,14,1,72-73
Buck Rodgers,B,74,190,0.232,31,1,74-75
Phil Niekro,R,73,180,0.169,7,1,72-73
Jeff Holly,L,77,210,0,0,1,76-77
Tom Poquette,L,70,175,0.268,10,1,70-71
Eric Hetzel,R,75,175,0,0,1,74-75
Brian Asselstine,L,73,175,0.254,12,1,72-73
Rick Miller,L,72,175,0.269,28,1,72-73
Ed Charles,R,70,170,0.263,86,1,70-71
Luis Gomez,R,69,150,0.21,0,1,68-69
Dave Lemanczyk,R,76,235,0,0,1,76-77
Al Jones,R,76,210,0,0,1,76-77
Floyd Rayford,R,70,190,0.244,38,1,70-71
Sam Hinds,R,78,215,0,0,1,78-79
Tony Conigliaro,R,75,185,0.264,166,1,74-75
Clay Christiansen,R,77,205,0,0,1,76-77
Jim Barr,R,75,205,0.162,1,1,74-75
Jerry Remy,L,69,165,0.275,7,1,68-69
Larry Rothschild,L,74,180,0,0,1,74-75
Frank Duffy,R,73,180,0.232,26,1,72-73
Gary Lance,B,75,195,0,0,1,74-75
Tom O'Malley,L,72,180,0.256,13,1,72-73
Phil Garner,R,70,175,0.26,109,1,70-71
Larry Pashnick,R,75,205,0,0,1,74-75
Todd Fischer,R,70,170,0,0,1,70-71
